0,1
Datasets/LJSpeech-1.1/wavs/LJ018-0264.wav,"roupell was quiet and submissive while in newgate, unassuming in manner, and ready to make the best of his position."
Datasets/LJSpeech-1.1/wavs/LJ015-0079.wav,the temptation was all the greater because the chances of successful fraud lay ready to hand.
Datasets/LJSpeech-1.1/wavs/LJ015-0297.wav,and that clever schemer sent an elaborate letter of instructions how to ask for the money.
Datasets/LJSpeech-1.1/wavs/LJ011-0087.wav,"montgomery was duly sentenced to death, but he preferred suicide to the gallows. after sentence his demeanor was serious yet firm."
Datasets/LJSpeech-1.1/wavs/LJ016-0109.wav,but not till they had had an exciting chase down the street.
Datasets/LJSpeech-1.1/wavs/LJ032-0181.wav,"although stombaugh was unable to estimate the period of time the fibers were on the rifle he said that the fibers, quote,"
Datasets/LJSpeech-1.1/wavs/LJ008-0204.wav,"one well-dressed woman fell out of a first-floor window on to the shoulders of the crowd below, but neither she nor any one else was greatly hurt."
Datasets/LJSpeech-1.1/wavs/LJ013-0206.wav,"next morning he made a full confession in presence of his attorney, and the governor, mr. cope."
Datasets/LJSpeech-1.1/wavs/LJ048-0206.wav,as the motorcade approached elm street
Datasets/LJSpeech-1.1/wavs/LJ022-0191.wav,they are essential factors in a rounded program for national recovery.
Datasets/LJSpeech-1.1/wavs/LJ044-0147.wav,"and in late june or early july he told his wife that he wanted to return to the soviet union with her. she said that he was extremely upset,"
Datasets/LJSpeech-1.1/wavs/LJ045-0117.wav,it would appear to be unlikely that his landlady in dallas
Datasets/LJSpeech-1.1/wavs/LJ002-0260.wav,yet the public opinion of the whole body seems to have checked dissipation.
Datasets/LJSpeech-1.1/wavs/LJ047-0081.wav,"on june twenty-four, oswald applied in new orleans for a passport, stating that he planned to depart by ship"
Datasets/LJSpeech-1.1/wavs/LJ015-0190.wav,that of dishonest rogues who assume piety and philanthropy as a cloak for their misdeeds.
Datasets/LJSpeech-1.1/wavs/LJ016-0150.wav,"suicides at newgate were numerous enough, but they seldom possessed any novel or unusual features;"
Datasets/LJSpeech-1.1/wavs/LJ027-0110.wav,"now, rudimentary organs of this kind are of such frequent occurrence, that almost every species of organism presents one or more of them"
Datasets/LJSpeech-1.1/wavs/LJ029-0004.wav,"the narrative of these events is based largely on the recollections of the participants,"
Datasets/LJSpeech-1.1/wavs/LJ046-0186.wav,the prosecution of persons who have committed an offense such as threatening the president.
Datasets/LJSpeech-1.1/wavs/LJ038-0236.wav,two of these photographs were taken from the rear of walker's house.
Datasets/LJSpeech-1.1/wavs/LJ005-0018.wav,"an imputation which the society indignantly and very justly repudiated, the statement being, as they said,"
Datasets/LJSpeech-1.1/wavs/LJ025-0024.wav,"whence their nutrition may be drawn by vessels, which are a sort of internal roots; and, in the presence of this alimentary cavity"
Datasets/LJSpeech-1.1/wavs/LJ005-0154.wav,the rations varied considerably everywhere.
Datasets/LJSpeech-1.1/wavs/LJ010-0315.wav,"and sold out to the amount here stated, and without the knowledge of my partners."
Datasets/LJSpeech-1.1/wavs/LJ033-0055.wav,and he could disassemble it more rapidly.
Datasets/LJSpeech-1.1/wavs/LJ008-0131.wav,the other he kept between his hands.
Datasets/LJSpeech-1.1/wavs/LJ044-0039.wav,"they said something about remodeling, etc. i'm sure you understand, end quote."
Datasets/LJSpeech-1.1/wavs/LJ009-0243.wav,"other cases might be quoted,"
Datasets/LJSpeech-1.1/wavs/LJ025-0085.wav,"the definition so changed will cover all animals, except certain parasites,"
Datasets/LJSpeech-1.1/wavs/LJ040-0005.wav,there remains the question of what impelled oswald to conceive and to carry out the assassination of the president of the united states.
Datasets/LJSpeech-1.1/wavs/LJ002-0168.wav,"the lad in question was found in coldbath fields prison, to which he had been sent for a month in default of paying a fine of forty shillings."
Datasets/LJSpeech-1.1/wavs/LJ018-0198.wav,"it is told of ""bob"" brennan, an official specially employed for years by the mint"
Datasets/LJSpeech-1.1/wavs/LJ035-0013.wav,"having recently heard the sounds of rifles while on a hunting trip, baker recognized the shots as that of a high-powered rifle; quote,"
Datasets/LJSpeech-1.1/wavs/LJ027-0114.wav,"namely that when from changed conditions of life, an organ which was previously useful becomes useless,"
Datasets/LJSpeech-1.1/wavs/LJ015-0078.wav,who preferred to risk his future reputation and liberty to the present discomfort of living upon narrow means.
Datasets/LJSpeech-1.1/wavs/LJ034-0068.wav,additional testimony linking oswald with the point from which the shots were fired
Datasets/LJSpeech-1.1/wavs/LJ017-0072.wav,whose signature he counterfeited.
Datasets/LJSpeech-1.1/wavs/LJ037-0149.wav,"cortlandt cunningham, of the firearms identification unit of the fbi laboratory, testified"
Datasets/LJSpeech-1.1/wavs/LJ018-0034.wav,"and accompanied by mr. death the jeweler and the cabman, went down to liverpool and took the first steamer across the atlantic."
Datasets/LJSpeech-1.1/wavs/LJ036-0009.wav,"and seven eyewitnesses who heard the shots and saw the gunman flee the scene with the revolver in his hand,"
Datasets/LJSpeech-1.1/wavs/LJ036-0214.wav,tippit stopped the man and called him to his car.
Datasets/LJSpeech-1.1/wavs/LJ014-0124.wav,"manning, who was dressed in black, appeared to be a heavy, bull-necked, repulsive-looking man, with a very fair complexion and light hair."
Datasets/LJSpeech-1.1/wavs/LJ019-0023.wav,"that this was an experimental construction, and that too strict a limitation of outlay would have militated seriously against the usefulness of the building."
Datasets/LJSpeech-1.1/wavs/LJ026-0025.wav,the important point to recognize is that these boundaries are artificial and that there are no scientific frontiers in nature.
Datasets/LJSpeech-1.1/wavs/LJ021-0141.wav,"the benefits that all derive from the continuous, peaceful operation of our essential enterprises."
Datasets/LJSpeech-1.1/wavs/LJ047-0024.wav,in the course of a routine fbi investigation of transfers of small sums of money from mrs. oswald to her son in russia.
Datasets/LJSpeech-1.1/wavs/LJ024-0124.wav,is what the justices say it is rather than what its framers or you might hope it is.
Datasets/LJSpeech-1.1/wavs/LJ040-0072.wav,"he was cared for principally by his mother's sister, by babysitters and by his mother, when she had time for him."
Datasets/LJSpeech-1.1/wavs/LJ035-0059.wav,"truly replied, ""yes."""
Datasets/LJSpeech-1.1/wavs/LJ032-0269.wav,it could have been caused by the telescopic sight of the rifle which was approximately eleven inches long.
Datasets/LJSpeech-1.1/wavs/LJ040-0177.wav,he took the position that such matters were his own business.
